run  |     start time      |      end time       | length (min)
6098 | 2020-01-31 13:25:45 | 2020-01-31 14:25:19 | 59.5667 
6099 | 2020-01-31 14:26:15 | 2020-01-31 14:53:41 | 27.4333 
6102 | 2020-02-01 00:14:26 | 2020-02-01 01:16:44 | 62.3000 
6103 | 2020-02-01 01:19:28 | 2020-02-01 02:15:59 | 56.5167 
6104 | 2020-02-01 02:16:47 | 2020-02-01 03:21:41 | 64.9000 
6107 | 2020-02-01 03:59:10 | 2020-02-01 04:25:50 | 26.6667 
6108 | 2020-02-01 04:27:00 | 2020-02-01 04:46:10 | 19.1667 
6109 | 2020-02-01 04:51:28 | 2020-02-01 06:00:24 | 68.9333 
6110 | 2020-02-01 06:03:31 | 2020-02-01 06:54:23 | 50.8667 
6116 | 2020-02-01 11:42:13 | 2020-02-01 12:40:45 | 58.5333 
6118 | 2020-02-01 13:37:15 | 2020-02-01 14:35:25 | 58.1667 
6119 | 2020-02-01 14:36:37 | 2020-02-01 15:34:43 | 58.1000 
6120 | 2020-02-01 15:35:32 | 2020-02-01 16:35:45 | 60.2167 
6121 | 2020-02-01 16:36:54 | 2020-02-01 17:30:55 | 54.0167 
6122 | 2020-02-01 17:38:40 | 2020-02-01 18:40:33 | 61.8833 
6123 | 2020-02-01 18:41:03 | 2020-02-01 19:41:38 | 60.5833 
6124 | 2020-02-01 19:42:06 | 2020-02-01 20:46:49 | 64.7167 
6125 | 2020-02-01 20:51:08 | 2020-02-01 21:52:58 | 61.8333 
6126 | 2020-02-01 21:53:28 | 2020-02-01 22:37:12 | 43.7333 
6127 | 2020-02-01 22:44:14 | 2020-02-01 23:43:52 | 59.6333 
6128 | 2020-02-01 23:44:23 | 2020-02-02 00:43:56 | 59.5500 
6129 | 2020-02-02 00:47:11 | 2020-02-02 01:42:37 | 55.4333 
6130 | 2020-02-02 01:45:07 | 2020-02-02 02:44:18 | 59.1833 
6131 | 2020-02-02 02:46:12 | 2020-02-02 03:46:39 | 60.4500 
6132 | 2020-02-02 03:54:42 | 2020-02-02 04:48:09 | 53.4500 
6133 | 2020-02-02 04:52:05 | 2020-02-02 05:50:24 | 58.3167 
6134 | 2020-02-02 05:54:22 | 2020-02-02 06:52:22 | 58.0000 
6135 | 2020-02-02 06:54:16 | 2020-02-02 07:49:52 | 55.6000 
6136 | 2020-02-02 07:52:23 | 2020-02-02 08:56:51 | 64.4667 
6159 | 2020-02-03 02:17:04 | 2020-02-03 03:15:35 | 58.5167 
6160 | 2020-02-03 03:16:28 | 2020-02-03 04:16:42 | 60.2333 
6161 | 2020-02-03 04:18:43 | 2020-02-03 05:17:24 | 58.6833 
6162 | 2020-02-03 05:19:42 | 2020-02-03 06:06:17 | 46.5833 
6163 | 2020-02-03 06:08:56 | 2020-02-03 07:08:03 | 59.1167 
6164 | 2020-02-03 07:09:44 | 2020-02-03 08:32:05 | 82.3500 
6165 | 2020-02-03 08:32:45 | 2020-02-03 09:36:23 | 63.6333 
6166 | 2020-02-03 09:37:06 | 2020-02-03 09:47:25 | 10.3167 
6168 | 2020-02-03 10:49:47 | 2020-02-03 11:44:43 | 54.9333 
6176 | 2020-02-03 19:13:22 | 2020-02-03 20:09:10 | 55.8000 
6177 | 2020-02-03 20:10:42 | 2020-02-03 21:09:35 | 58.8833 
6178 | 2020-02-03 21:10:32 | 2020-02-03 22:14:27 | 63.9167 
6179 | 2020-02-03 22:15:03 | 2020-02-03 23:14:29 | 59.4333 
6185 | 2020-02-04 02:18:27 | 2020-02-04 03:23:08 | 64.6833 
6186 | 2020-02-04 03:25:48 | 2020-02-04 04:36:06 | 70.3000 
6187 | 2020-02-04 04:36:51 | 2020-02-04 05:29:42 | 52.8500 
6193 | 2020-02-04 10:30:27 | 2020-02-04 11:27:12 | 56.7500 
